0,5
1,4
2,3
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,2
24,2
25,2
26,2
27,2
28,2
29,0
30,2
31,0
32,2
33,0
34,5
35,0
36,2
37,0
38,2
39,1
40,1
41,1
42,1
43,1
44,1
45,6
46,3
47,6
48,6
49,6
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,3
58,0
59,6
60,3
61,3
62,3
63,3
64,6
65,6
66,3
67,6
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,3
78,6
79,6
80,3
81,5
82,0
83,5
84,5
85,5
86,5
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,1
96,1
97,2
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,2
107,1
108,1
109,2
110,1
111,1
112,5
113,5
114,2
115,2
116,2
117,5
118,3
119,2
120,5
121,1
122,1
123,1
124,1
125,1
126,2
127,2
128,2
129,2
130,3
131,5
132,2
133,2
134,3
135,2
136,0
137,0
138,6
139,0
140,0
141,0
142,0
143,6
144,6
145,6
146,5
147,5
148,1
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,2
157,2
158,4
159,4
160,5
161,4
162,4
163,4
164,6
165,6
166,6
167,1
168,1
169,0
170,2
171,0
172,1
173,0
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,2
185,2
186,3
187,2
188,3
189,3
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,4
202,4
203,4
204,6
205,4
206,4
207,4
208,0
209,4
210,2
211,3
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,2
230,6
231,4
232,0
233,1
234,0
235,6
236,2
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,6
257,0
258,0
259,0
260,1
261,0
262,1
263,6
264,1
265,2
266,1
267,0
268,0
269,0
270,2
271,0
272,0
273,1
274,0
275,0
276,4
277,2
278,0
279,0
280,0
281,0
282,6
283,2
284,2
285,2
286,2
287,1
288,2
289,1
290,4
291,1
292,2
293,1
294,6
295,1
296,2
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,6
319,6
320,6
321,6
